Date,Time,北緯,東經,深度,芮氏規模,城市,震度
2021-01-31,18:12:02,22.99,121.35,38.7,4.0,南投縣,1
2021-01-31,18:12:02,22.99,121.35,38.7,4.0,臺東縣,1
2021-01-28,16:05:04,22.54,120.97,9.0,4.2,臺東縣,4
2021-01-28,16:05:04,22.54,120.97,9.0,4.2,屏東縣,1
2021-01-28,15:29:31,22.54,120.98,9.1,5.1,臺東縣,4
2021-01-28,15:29:31,22.54,120.98,9.1,5.1,嘉義縣,2
2021-01-28,15:29:31,22.54,120.98,9.1,5.1,花蓮縣,2
2021-01-28,15:29:31,22.54,120.98,9.1,5.1,南投縣,2
2021-01-28,15:29:31,22.54,120.98,9.1,5.1,屏東縣,2
2021-01-28,15:29:31,22.54,120.98,9.1,5.1,高雄市,2
2021-01-28,15:29:31,22.54,120.98,9.1,5.1,雲林縣,2
2021-01-28,15:29:31,22.54,120.98,9.1,5.1,嘉義市,1
2021-01-28,15:29:31,22.54,120.98,9.1,5.1,彰化縣,1
2021-01-28,15:29:31,22.54,120.98,9.1,5.1,臺南市,1
2021-01-28,12:50:08,23.16,120.7,7.3,3.6,高雄市,2
2021-01-28,12:50:08,23.16,120.7,7.3,3.6,嘉義縣,2
2021-01-28,12:50:08,23.16,120.7,7.3,3.6,臺南市,1
2021-01-28,07:45:30,24.41,121.87,10.5,3.5,宜蘭縣,2
2021-01-28,07:45:30,24.41,121.87,10.5,3.5,花蓮縣,1
2021-01-28,01:25:30,24.13,121.53,25.1,3.5,宜蘭縣,1
2021-01-28,01:25:30,24.13,121.53,25.1,3.5,花蓮縣,1
2021-01-26,04:50:36,24.43,121.9,21.9,3.8,宜蘭縣,2
2021-01-26,04:50:36,24.43,121.9,21.9,3.8,花蓮縣,1
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,宜蘭縣,3
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,花蓮縣,2
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,南投縣,1
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,苗栗縣,1
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,桃園市,1
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,雲林縣,1
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,新北市,1
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,新竹市,1
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,新竹縣,1
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,彰化縣,1
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,臺中市,1
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,臺北市,1
2021-01-25,19:39:23,24.83,122.19,100.4,5.0,臺東縣,1
2021-01-25,17:05:57,23.51,123.45,16.9,5.1,宜蘭縣,1
2021-01-25,17:05:57,23.51,123.45,16.9,5.1,花蓮縣,1
2021-01-25,17:05:57,23.51,123.45,16.9,5.1,南投縣,1
2021-01-25,17:05:57,23.51,123.45,16.9,5.1,雲林縣,1
2021-01-25,17:05:57,23.51,123.45,16.9,5.1,彰化縣,1
2021-01-25,17:05:57,23.51,123.45,16.9,5.1,臺東縣,1
2021-01-25,15:25:38,23.42,123.63,35.9,5.8,宜蘭縣,2
2021-01-25,15:25:38,23.42,123.63,35.9,5.8,彰化縣,2
2021-01-25,15:25:38,23.42,123.63,35.9,5.8,臺東縣,2
2021-01-25,15:25:38,23.42,123.63,35.9,5.8,臺中市,1
2021-01-25,15:25:38,23.42,123.63,35.9,5.8,花蓮縣,1
2021-01-25,15:25:38,23.42,123.63,35.9,5.8,南投縣,1
2021-01-25,15:25:38,23.42,123.63,35.9,5.8,屏東縣,1
2021-01-25,15:25:38,23.42,123.63,35.9,5.8,苗栗縣,1
2021-01-25,15:25:38,23.42,123.63,35.9,5.8,基隆市,1
2021-01-25,15:25:38,23.42,123.63,35.9,5.8,雲林縣,1
2021-01-25,15:25:38,23.42,123.63,35.9,5.8,新北市,1
2021-01-25,15:25:38,23.42,123.63,35.9,5.8,新竹縣,1
2021-01-24,23:07:08,22.62,120.39,26.3,3.4,高雄市,2
