Date,Time,北緯,東經,深度,芮氏規模,城市,震度
2016-01-25,15:01:00,23.77,121.7,25.8,3.3,花蓮縣,1
2016-01-23,12:02:10,24.62,122.35,11.4,4.0,宜蘭縣,2
2016-01-23,12:02:10,24.62,122.35,11.4,4.0,花蓮縣,1
2016-01-23,04:16:02,23.93,121.47,15.1,3.0,花蓮縣,3
2016-01-22,04:37:28,24.96,122.31,14.0,4.4,宜蘭縣,2
2016-01-22,04:37:28,24.96,122.31,14.0,4.4,花蓮縣,1
2016-01-22,04:37:28,24.96,122.31,14.0,4.4,新北市,1
2016-01-22,04:37:28,24.96,122.31,14.0,4.4,臺北市,1
2016-01-20,23:35:46,22.77,121.33,29.7,4.2,臺東縣,3
2016-01-19,20:04:06,23.9,121.57,9.7,3.7,花蓮縣,3
2016-01-19,13:35:06,22.78,121.32,27.9,3.2,臺東縣,2
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,臺東縣,5
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,臺南市,3
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,嘉義市,3
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,嘉義縣,3
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,高雄市,3
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,雲林縣,3
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,宜蘭縣,2
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,花蓮縣,2
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,南投縣,2
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,屏東縣,2
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,彰化縣,2
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,臺中市,2
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,臺北市,1
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,澎湖縣,1
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,苗栗縣,1
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,桃園市,1
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,新北市,1
2016-01-19,10:13:26,22.79,121.31,29.7,5.8,新竹縣,1
2016-01-18,23:45:15,23.23,120.49,12.7,3.4,臺南市,2
2016-01-18,23:45:15,23.23,120.49,12.7,3.4,高雄市,1
2016-01-18,23:45:15,23.23,120.49,12.7,3.4,嘉義縣,1
2016-01-16,10:46:30,23.46,120.45,11.4,3.2,嘉義市,3
2016-01-16,10:46:30,23.46,120.45,11.4,3.2,嘉義縣,2
2016-01-16,10:46:30,23.46,120.45,11.4,3.2,彰化縣,1
2016-01-16,10:46:30,23.46,120.45,11.4,3.2,雲林縣,1
2016-01-16,00:27:20,24.49,121.76,42.9,3.9,宜蘭縣,2
2016-01-16,00:27:20,24.49,121.76,42.9,3.9,花蓮縣,2
2016-01-16,00:27:20,24.49,121.76,42.9,3.9,桃園市,1
2016-01-16,00:27:20,24.49,121.76,42.9,3.9,新竹縣,1
2016-01-15,07:13:45,24.07,121.64,8.9,2.7,花蓮縣,3
2016-01-15,07:13:45,24.07,121.64,8.9,2.7,南投縣,1
2016-01-15,07:13:45,24.07,121.64,8.9,2.7,宜蘭縣,1
2016-01-14,23:27:50,23.42,120.49,10.3,2.8,嘉義市,2
2016-01-14,23:27:50,23.42,120.49,10.3,2.8,嘉義縣,1
2016-01-14,01:22:37,24.11,121.83,10.5,4.4,花蓮縣,3
2016-01-14,01:22:37,24.11,121.83,10.5,4.4,南投縣,2
2016-01-14,01:22:37,24.11,121.83,10.5,4.4,宜蘭縣,2
2016-01-14,01:22:37,24.11,121.83,10.5,4.4,臺中市,1
2016-01-14,01:11:46,24.11,121.84,6.5,4.4,花蓮縣,2
2016-01-14,01:11:46,24.11,121.84,6.5,4.4,南投縣,1
2016-01-14,01:11:46,24.11,121.84,6.5,4.4,臺中市,1
2016-01-14,01:11:46,24.11,121.84,6.5,4.4,宜蘭縣,1
2016-01-13,20:53:12,24.75,121.24,9.4,3.1,桃園市,1
2016-01-13,20:53:12,24.75,121.24,9.4,3.1,新竹縣,1
2016-01-13,17:06:57,23.41,120.49,9.7,3.6,嘉義市,2
2016-01-13,17:06:57,23.41,120.49,9.7,3.6,嘉義縣,2
2016-01-13,17:06:57,23.41,120.49,9.7,3.6,臺南市,1
2016-01-13,17:06:57,23.41,120.49,9.7,3.6,高雄市,1
2016-01-13,17:06:57,23.41,120.49,9.7,3.6,雲林縣,1
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,臺東縣,4
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,花蓮縣,3
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,南投縣,2
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,高雄市,2
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,雲林縣,2
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,嘉義縣,2
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,彰化縣,2
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,臺中市,2
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,宜蘭縣,2
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,臺南市,1
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,新北市,1
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,新竹縣,1
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,嘉義市,1
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,屏東縣,1
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,苗栗縣,1
2016-01-11,12:52:57,23.43,121.53,33.2,5.3,桃園市,1
2016-01-10,18:46:18,24.18,121.99,30.7,4.4,宜蘭縣,2
2016-01-10,18:46:18,24.18,121.99,30.7,4.4,花蓮縣,2
2016-01-10,18:46:18,24.18,121.99,30.7,4.4,南投縣,1
2016-01-08,21:17:26,23.79,121.63,33.9,3.5,花蓮縣,1
2016-01-08,12:23:28,23.98,121.63,24.2,3.8,宜蘭縣,2
2016-01-08,12:23:28,23.98,121.63,24.2,3.8,花蓮縣,2
2016-01-08,12:23:28,23.98,121.63,24.2,3.8,南投縣,1
2016-01-08,12:23:28,23.98,121.63,24.2,3.8,臺中市,1
2016-01-06,17:12:14,24.33,121.76,6.0,3.3,宜蘭縣,4
2016-01-06,17:12:14,24.33,121.76,6.0,3.3,花蓮縣,4
2016-01-06,16:05:37,24.57,121.95,49.0,3.6,宜蘭縣,2
2016-01-06,16:05:37,24.57,121.95,49.0,3.6,花蓮縣,1
2016-01-05,10:35:55,24.45,121.9,23.1,3.6,宜蘭縣,3
2016-01-05,10:35:55,24.45,121.9,23.1,3.6,花蓮縣,1
2016-01-05,01:20:00,21.57,121.39,91.0,4.9,臺東縣,2
2016-01-05,01:20:00,21.57,121.39,91.0,4.9,臺南市,1
2016-01-05,01:20:00,21.57,121.39,91.0,4.9,屏東縣,1
2016-01-05,01:20:00,21.57,121.39,91.0,4.9,雲林縣,1
2016-01-05,01:20:00,21.57,121.39,91.0,4.9,嘉義縣,1
2016-01-05,00:12:15,24.37,121.9,16.7,2.9,宜蘭縣,2
2016-01-05,00:12:15,24.37,121.9,16.7,2.9,花蓮縣,2
2016-01-04,00:00:09,24.38,121.93,29.6,4.0,宜蘭縣,3
2016-01-04,00:00:09,24.38,121.93,29.6,4.0,花蓮縣,2
2016-01-03,22:01:30,24.6,122.08,66.4,4.9,宜蘭縣,2
2016-01-03,22:01:30,24.6,122.08,66.4,4.9,花蓮縣,2
2016-01-03,22:01:30,24.6,122.08,66.4,4.9,桃園市,2
2016-01-03,22:01:30,24.6,122.08,66.4,4.9,新北市,2
2016-01-03,22:01:30,24.6,122.08,66.4,4.9,臺北市,2
2016-01-03,22:01:30,24.6,122.08,66.4,4.9,新竹縣,1
2016-01-03,22:01:30,24.6,122.08,66.4,4.9,雲林縣,1
2016-01-03,22:01:30,24.6,122.08,66.4,4.9,南投縣,1
2016-01-02,09:25:36,23.74,121.42,20.5,3.9,花蓮縣,3
2016-01-02,09:25:36,23.74,121.42,20.5,3.9,南投縣,1
2016-01-02,09:25:36,23.74,121.42,20.5,3.9,宜蘭縣,1
2016-01-01,14:23:25,24.01,121.48,16.8,2.8,花蓮縣,2
2016-01-01,14:23:25,24.01,121.48,16.8,2.8,南投縣,1
2016-01-01,06:33:55,24.76,121.08,7.5,2.3,新竹縣,3
2016-01-01,06:33:55,24.76,121.08,7.5,2.3,新竹市,2
2016-02-29,09:36:14,24.92,121.73,112.6,4.3,宜蘭縣,2
2016-02-29,09:36:14,24.92,121.73,112.6,4.3,花蓮縣,1
2016-02-29,09:36:14,24.92,121.73,112.6,4.3,桃園市,1
2016-02-29,09:36:14,24.92,121.73,112.6,4.3,新北市,1
2016-02-29,09:36:14,24.92,121.73,112.6,4.3,新竹縣,1
2016-02-29,09:36:14,24.92,121.73,112.6,4.3,臺北市,1
