Date,Time,北緯,東經,深度,芮氏規模,城市,震度
1996-01-23,03:22:57,24.93,121.72,66.9,5.1,宜蘭縣,3
1996-01-23,03:22:57,24.93,121.72,66.9,5.1,苗栗縣,2
1996-01-23,03:22:57,24.93,121.72,66.9,5.1,桃園縣,2
1996-01-23,03:22:57,24.93,121.72,66.9,5.1,新北市,2
1996-01-23,03:22:57,24.93,121.72,66.9,5.1,臺北市,2
1996-01-23,03:22:57,24.93,121.72,66.9,5.1,嘉義市,1
1996-01-23,03:22:57,24.93,121.72,66.9,5.1,臺中市,1
1996-01-23,03:22:57,24.93,121.72,66.9,5.1,雲林縣,1
1996-01-23,03:22:57,24.93,121.72,66.9,5.1,花蓮縣,1
1996-01-23,03:22:57,24.93,121.72,66.9,5.1,南投縣,1
1996-01-20,12:24:41,23.34,121.4,16.9,4.6,花蓮縣,4
1996-01-20,12:24:41,23.34,121.4,16.9,4.6,南投縣,2
1996-01-20,12:24:41,23.34,121.4,16.9,4.6,臺東縣,2
1996-01-20,12:24:41,23.34,121.4,16.9,4.6,臺南市,1
1996-01-20,12:24:41,23.34,121.4,16.9,4.6,雲林縣,1
1996-01-20,12:24:41,23.34,121.4,16.9,4.6,嘉義市,1
1996-01-20,12:24:41,23.34,121.4,16.9,4.6,嘉義縣,1
1996-01-17,20:12:04,23.28,121.62,25.9,4.7,花蓮縣,2
1996-01-17,20:12:04,23.28,121.62,25.9,4.7,臺東縣,2
1996-01-17,20:12:04,23.28,121.62,25.9,4.7,臺南市,1
1996-01-17,20:12:04,23.28,121.62,25.9,4.7,宜蘭縣,1
1996-01-17,20:12:04,23.28,121.62,25.9,4.7,南投縣,1
1996-01-17,20:12:04,23.28,121.62,25.9,4.7,雲林縣,1
1996-01-17,20:12:04,23.28,121.62,25.9,4.7,嘉義市,1
1996-01-17,20:12:04,23.28,121.62,25.9,4.7,嘉義縣,1
1996-01-10,00:10:29,23.04,120.18,8.7,3.8,臺南市,4
1996-02-06,14:01:29,23.04,120.21,14.7,3.2,臺南市,3
1996-02-05,16:57:45,23.89,121.71,23.0,4.7,宜蘭縣,3
1996-02-05,16:57:45,23.89,121.71,23.0,4.7,花蓮縣,3
1996-02-05,16:57:45,23.89,121.71,23.0,4.7,南投縣,1
1996-02-05,16:57:45,23.89,121.71,23.0,4.7,雲林縣,1
1996-02-05,16:57:45,23.89,121.71,23.0,4.7,臺中市,1
1996-02-05,16:57:45,23.89,121.71,23.0,4.7,臺東縣,1
1996-03-29,11:28:53,23.97,122.33,5.8,5.6,宜蘭縣,3
1996-03-29,11:28:53,23.97,122.33,5.8,5.6,花蓮縣,2
1996-03-29,11:28:53,23.97,122.33,5.8,5.6,桃園縣,2
1996-03-29,11:28:53,23.97,122.33,5.8,5.6,臺北市,2
1996-03-29,11:28:53,23.97,122.33,5.8,5.6,臺南市,1
1996-03-29,11:28:53,23.97,122.33,5.8,5.6,雲林縣,1
1996-03-29,11:28:53,23.97,122.33,5.8,5.6,新北市,1
1996-03-29,11:28:53,23.97,122.33,5.8,5.6,嘉義市,1
1996-03-29,11:28:53,23.97,122.33,5.8,5.6,嘉義縣,1
1996-03-29,11:28:53,23.97,122.33,5.8,5.6,臺中市,1
1996-03-29,11:28:53,23.97,122.33,5.8,5.6,南投縣,1
1996-03-29,11:28:53,23.97,122.33,5.8,5.6,苗栗縣,1
1996-03-19,15:25:02,23.91,122.31,1.6,5.0,宜蘭縣,2
1996-03-19,15:25:02,23.91,122.31,1.6,5.0,花蓮縣,1
1996-03-19,15:25:02,23.91,122.31,1.6,5.0,南投縣,1
1996-03-19,15:25:02,23.91,122.31,1.6,5.0,雲林縣,1
1996-03-19,15:25:02,23.91,122.31,1.6,5.0,臺北市,1
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,宜蘭縣,3
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,花蓮縣,3
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,南投縣,2
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,苗栗縣,2
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,桃園縣,2
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,嘉義市,2
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,嘉義縣,2
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,臺中市,2
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,臺北市,2
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,臺東縣,2
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,雲林縣,2
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,新北市,1
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,臺南市,1
1996-03-06,01:32:08,23.9,122.3,10.8,6.0,高雄市,1
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,宜蘭縣,4
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,臺北市,4
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,花蓮縣,3
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,新北市,3
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,嘉義市,2
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,嘉義縣,2
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,臺中市,2
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,南投縣,2
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,苗栗縣,2
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,桃園縣,2
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,臺東縣,2
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,雲林縣,2
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,臺南市,1
1996-03-05,22:52:27,23.93,122.36,6.0,6.4,高雄市,1
1996-03-04,12:28:43,23.1,120.28,16.1,4.0,臺南市,3
1996-03-04,12:28:43,23.1,120.28,16.1,4.0,南投縣,1
1996-03-04,12:28:43,23.1,120.28,16.1,4.0,高雄市,1
1996-03-04,12:28:43,23.1,120.28,16.1,4.0,雲林縣,1
1996-03-04,12:28:43,23.1,120.28,16.1,4.0,嘉義市,1
1996-03-04,12:28:43,23.1,120.28,16.1,4.0,嘉義縣,1
1996-04-19,15:26:23,23.71,121.8,29.8,4.6,宜蘭縣,2
1996-04-19,15:26:23,23.71,121.8,29.8,4.6,花蓮縣,2
1996-04-19,15:26:23,23.71,121.8,29.8,4.6,南投縣,2
1996-04-19,15:26:23,23.71,121.8,29.8,4.6,臺東縣,2
1996-04-19,15:26:23,23.71,121.8,29.8,4.6,苗栗縣,1
1996-04-19,15:26:23,23.71,121.8,29.8,4.6,雲林縣,1
1996-04-19,15:26:23,23.71,121.8,29.8,4.6,嘉義市,1
1996-04-19,15:26:23,23.71,121.8,29.8,4.6,嘉義縣,1
1996-04-19,15:26:23,23.71,121.8,29.8,4.6,臺中市,1
1996-04-10,22:14:49,22.97,121.51,13.6,4.7,臺東縣,3
1996-04-10,22:14:49,22.97,121.51,13.6,4.7,花蓮縣,1
1996-04-10,22:14:49,22.97,121.51,13.6,4.7,南投縣,1
1996-04-10,22:14:49,22.97,121.51,13.6,4.7,雲林縣,1
1996-04-10,22:14:49,22.97,121.51,13.6,4.7,嘉義縣,1
1996-04-10,16:59:19,22.67,120.35,31.8,4.3,高雄市,2
1996-04-10,16:59:19,22.67,120.35,31.8,4.3,雲林縣,1
1996-04-10,16:59:19,22.67,120.35,31.8,4.3,嘉義市,1
1996-04-10,16:59:19,22.67,120.35,31.8,4.3,臺南市,1
1996-04-10,16:59:19,22.67,120.35,31.8,4.3,屏東縣,1
1996-04-09,20:13:37,23.14,120.43,11.4,4.0,臺南市,4
1996-04-09,20:13:37,23.14,120.43,11.4,4.0,嘉義市,2
1996-04-09,20:13:37,23.14,120.43,11.4,4.0,嘉義縣,1
1996-04-09,20:13:37,23.14,120.43,11.4,4.0,南投縣,1
1996-04-09,20:13:37,23.14,120.43,11.4,4.0,高雄市,1
1996-04-09,20:13:37,23.14,120.43,11.4,4.0,雲林縣,1
1996-04-09,20:09:05,23.14,120.44,12.0,3.8,臺南市,4
