Date,Time,北緯,東經,深度,芮氏規模,城市,震度
1997-01-29,14:43:38,22.8,121.1,18.5,4.3,臺東縣,3
1997-01-27,05:33:37,22.75,120.24,32.8,4.2,高雄市,2
1997-01-27,05:33:37,22.75,120.24,32.8,4.2,臺南市,1
1997-01-27,05:33:37,22.75,120.24,32.8,4.2,屏東縣,1
1997-01-19,01:13:47,23.93,122.44,15.1,5.4,宜蘭縣,2
1997-01-19,01:13:47,23.93,122.44,15.1,5.4,新北市,2
1997-01-19,01:13:47,23.93,122.44,15.1,5.4,臺北市,2
1997-01-19,01:13:47,23.93,122.44,15.1,5.4,臺東縣,1
1997-01-19,01:13:47,23.93,122.44,15.1,5.4,嘉義市,1
1997-01-19,01:13:47,23.93,122.44,15.1,5.4,花蓮縣,1
1997-01-19,01:13:47,23.93,122.44,15.1,5.4,南投縣,1
1997-01-19,01:13:47,23.93,122.44,15.1,5.4,桃園縣,1
1997-01-19,01:13:47,23.93,122.44,15.1,5.4,雲林縣,1
1997-01-16,09:07:20,22.01,121.3,8.9,5.4,臺東縣,4
1997-01-16,09:07:20,22.01,121.3,8.9,5.4,屏東縣,2
1997-01-16,09:07:20,22.01,121.3,8.9,5.4,高雄市,1
1997-01-16,09:07:20,22.01,121.3,8.9,5.4,雲林縣,1
1997-01-16,09:07:20,22.01,121.3,8.9,5.4,嘉義市,1
1997-01-16,09:07:20,22.01,121.3,8.9,5.4,臺南市,1
1997-01-09,17:08:12,22.93,121.53,6.9,4.1,臺東縣,4
1997-01-08,20:14:19,22.79,121.38,3.2,4.1,臺東縣,3
1997-01-05,18:34:16,24.62,122.53,1.1,5.8,宜蘭縣,4
1997-01-05,18:34:16,24.62,122.53,1.1,5.8,花蓮縣,2
1997-01-05,18:34:16,24.62,122.53,1.1,5.8,桃園縣,2
1997-01-05,18:34:16,24.62,122.53,1.1,5.8,雲林縣,2
1997-01-05,18:34:16,24.62,122.53,1.1,5.8,新北市,2
1997-01-05,18:34:16,24.62,122.53,1.1,5.8,臺北市,2
1997-01-05,18:34:16,24.62,122.53,1.1,5.8,臺東縣,1
1997-01-05,18:34:16,24.62,122.53,1.1,5.8,嘉義市,1
1997-01-05,18:34:16,24.62,122.53,1.1,5.8,臺中市,1
1997-01-05,18:34:16,24.62,122.53,1.1,5.8,南投縣,1
1997-01-05,18:34:16,24.62,122.53,1.1,5.8,苗栗縣,1
1997-01-02,14:31:42,22.42,121.09,19.5,4.7,屏東縣,2
1997-01-02,14:31:42,22.42,121.09,19.5,4.7,臺東縣,2
1997-01-02,14:31:42,22.42,121.09,19.5,4.7,高雄市,1
1997-01-02,14:31:42,22.42,121.09,19.5,4.7,雲林縣,1
1997-02-27,23:44:43,23.89,121.71,16.9,4.7,宜蘭縣,3
1997-02-27,23:44:43,23.89,121.71,16.9,4.7,花蓮縣,3
1997-02-27,23:44:43,23.89,121.71,16.9,4.7,南投縣,1
1997-02-27,23:44:43,23.89,121.71,16.9,4.7,雲林縣,1
