Date,Time,北緯,東經,深度,芮氏規模,城市,震度
2011-01-31,22:58:45,22.87,121.25,14.1,3.8,臺東縣,2
2011-01-31,14:06:00,24.16,121.57,19.3,3.3,花蓮縣,3
2011-01-31,14:06:00,24.16,121.57,19.3,3.3,宜蘭縣,2
2011-01-31,14:06:00,24.16,121.57,19.3,3.3,南投縣,1
2011-01-29,15:46:11,24.91,122.02,11.1,3.5,新北市,3
2011-01-29,15:46:11,24.91,122.02,11.1,3.5,臺北市,1
2011-01-29,15:46:11,24.91,122.02,11.1,3.5,宜蘭縣,1
2011-01-29,15:43:15,24.92,122.02,11.4,3.3,新北市,2
2011-01-29,15:43:15,24.92,122.02,11.4,3.3,臺北市,1
2011-01-29,08:19:52,23.11,121.35,29.2,3.4,臺東縣,1
2011-01-28,21:11:53,24.35,121.74,14.0,2.9,宜蘭縣,2
2011-01-28,21:11:53,24.35,121.74,14.0,2.9,花蓮縣,2
2011-01-28,10:52:03,22.9,120.61,15.6,4.2,屏東縣,3
2011-01-28,10:52:03,22.9,120.61,15.6,4.2,高雄市,2
2011-01-28,10:52:03,22.9,120.61,15.6,4.2,雲林縣,2
2011-01-28,10:52:03,22.9,120.61,15.6,4.2,嘉義縣,2
2011-01-28,10:52:03,22.9,120.61,15.6,4.2,臺南市,2
2011-01-28,10:52:03,22.9,120.61,15.6,4.2,南投縣,1
2011-01-28,10:52:03,22.9,120.61,15.6,4.2,彰化縣,1
2011-01-28,10:52:03,22.9,120.61,15.6,4.2,臺東縣,1
2011-01-28,10:52:03,22.9,120.61,15.6,4.2,嘉義市,1
2011-01-27,09:05:32,23.22,121.34,11.1,3.1,臺東縣,2
2011-01-25,20:44:44,23.52,120.81,20.5,3.7,雲林縣,3
2011-01-25,20:44:44,23.52,120.81,20.5,3.7,嘉義市,2
2011-01-25,20:44:44,23.52,120.81,20.5,3.7,嘉義縣,2
2011-01-25,20:44:44,23.52,120.81,20.5,3.7,彰化縣,1
2011-01-25,20:44:44,23.52,120.81,20.5,3.7,臺中市,1
2011-01-25,20:44:44,23.52,120.81,20.5,3.7,臺東縣,1
2011-01-25,20:44:44,23.52,120.81,20.5,3.7,南投縣,1
2011-01-25,20:44:44,23.52,120.81,20.5,3.7,高雄市,1
2011-01-25,20:22:52,24.17,120.9,10.4,4.0,臺中市,3
2011-01-25,20:22:52,24.17,120.9,10.4,4.0,南投縣,1
2011-01-25,20:22:52,24.17,120.9,10.4,4.0,苗栗縣,1
2011-01-25,20:22:52,24.17,120.9,10.4,4.0,雲林縣,1
2011-01-25,20:22:52,24.17,120.9,10.4,4.0,彰化縣,1
2011-01-25,19:36:14,24.03,122.43,18.9,4.5,宜蘭縣,2
2011-01-25,19:36:14,24.03,122.43,18.9,4.5,花蓮縣,1
2011-01-25,04:05:01,24.44,121.9,22.9,3.2,宜蘭縣,2
2011-01-25,04:05:01,24.44,121.9,22.9,3.2,花蓮縣,1
2011-01-24,00:03:13,23.93,121.46,17.4,3.0,花蓮縣,3
2011-01-23,22:07:32,23.94,121.44,18.0,2.7,花蓮縣,2
2011-01-21,09:48:32,22.97,120.92,8.2,3.3,臺東縣,2
2011-01-21,09:48:32,22.97,120.92,8.2,3.3,高雄市,1
2011-01-17,14:32:47,24.49,121.97,19.4,3.0,宜蘭縣,2
2011-01-16,17:01:06,24.4,122.01,22.5,3.7,宜蘭縣,3
2011-01-16,17:01:06,24.4,122.01,22.5,3.7,花蓮縣,1
2011-01-15,04:19:01,24.39,121.45,6.7,3.3,宜蘭縣,4
2011-01-15,04:19:01,24.39,121.45,6.7,3.3,花蓮縣,1
2011-01-15,04:19:01,24.39,121.45,6.7,3.3,南投縣,1
2011-01-15,04:19:01,24.39,121.45,6.7,3.3,臺中市,1
2011-01-14,23:29:59,23.01,121.33,27.1,3.6,臺東縣,2
2011-01-13,20:09:05,24.8,122.37,17.5,4.1,宜蘭縣,2
2011-01-13,20:09:05,24.8,122.37,17.5,4.1,花蓮縣,1
2011-01-13,20:09:05,24.8,122.37,17.5,4.1,新北市,1
2011-01-13,04:05:12,22.95,120.93,9.4,3.9,高雄市,2
2011-01-13,04:05:12,22.95,120.93,9.4,3.9,臺東縣,2
2011-01-13,04:05:12,22.95,120.93,9.4,3.9,屏東縣,1
2011-01-12,20:56:46,24.37,121.78,16.5,2.9,宜蘭縣,3
2011-01-12,20:56:46,24.37,121.78,16.5,2.9,花蓮縣,2
2011-01-12,11:53:08,24.35,122.04,25.6,4.6,宜蘭縣,3
2011-01-12,11:53:08,24.35,122.04,25.6,4.6,花蓮縣,2
2011-01-12,11:53:08,24.35,122.04,25.6,4.6,桃園縣,1
