Date,Time,北緯,東經,深度,芮氏規模,城市,震度
2002-01-29,10:24:24,22.93,121.43,17.1,4.7,臺東縣,3
2002-01-29,10:24:24,22.93,121.43,17.1,4.7,花蓮縣,2
2002-01-29,10:24:24,22.93,121.43,17.1,4.7,南投縣,1
2002-01-29,10:24:24,22.93,121.43,17.1,4.7,屏東縣,1
2002-01-29,10:24:24,22.93,121.43,17.1,4.7,高雄市,1
2002-01-29,10:24:24,22.93,121.43,17.1,4.7,雲林縣,1
2002-01-29,10:24:24,22.93,121.43,17.1,4.7,嘉義市,1
2002-01-29,10:24:24,22.93,121.43,17.1,4.7,嘉義縣,1
2002-01-29,10:24:24,22.93,121.43,17.1,4.7,彰化縣,1
2002-01-29,10:24:24,22.93,121.43,17.1,4.7,臺南市,1
2002-01-24,18:20:35,23.03,120.61,20.9,3.8,高雄市,2
2002-01-24,18:20:35,23.03,120.61,20.9,3.8,嘉義縣,2
2002-01-24,18:20:35,23.03,120.61,20.9,3.8,臺南市,1
2002-01-24,18:20:35,23.03,120.61,20.9,3.8,屏東縣,1
2002-01-22,14:47:07,21.99,121.59,19.5,4.5,臺東縣,4
2002-01-18,13:06:45,24.45,121.82,11.5,3.9,宜蘭縣,5
2002-01-18,13:06:45,24.45,121.82,11.5,3.9,花蓮縣,3
2002-01-18,13:06:45,24.45,121.82,11.5,3.9,南投縣,1
2002-01-18,13:06:45,24.45,121.82,11.5,3.9,桃園縣,1
2002-01-18,13:06:45,24.45,121.82,11.5,3.9,臺中市,1
2002-01-15,12:04:54,24.38,120.91,7.7,3.5,苗栗縣,3
2002-01-15,10:58:19,24.88,121.96,90.6,4.7,苗栗縣,2
2002-01-15,10:58:19,24.88,121.96,90.6,4.7,宜蘭縣,2
2002-01-15,10:58:19,24.88,121.96,90.6,4.7,花蓮縣,1
2002-01-15,10:58:19,24.88,121.96,90.6,4.7,南投縣,1
2002-01-15,10:58:19,24.88,121.96,90.6,4.7,桃園縣,1
2002-01-15,10:58:19,24.88,121.96,90.6,4.7,新北市,1
2002-01-15,10:58:19,24.88,121.96,90.6,4.7,臺中市,1
2002-01-15,10:58:19,24.88,121.96,90.6,4.7,臺北市,1
2002-01-15,04:55:21,24.39,120.98,4.9,4.3,苗栗縣,3
2002-01-15,04:55:21,24.39,120.98,4.9,4.3,臺中市,2
2002-01-15,04:55:21,24.39,120.98,4.9,4.3,雲林縣,1
2002-01-15,04:55:21,24.39,120.98,4.9,4.3,彰化縣,1
2002-01-15,04:55:21,24.39,120.98,4.9,4.3,宜蘭縣,1
2002-01-15,04:55:21,24.39,120.98,4.9,4.3,南投縣,1
2002-01-15,02:10:30,24.4,120.98,7.0,4.6,苗栗縣,4
2002-01-15,02:10:30,24.4,120.98,7.0,4.6,臺中市,3
2002-01-15,02:10:30,24.4,120.98,7.0,4.6,臺南市,2
2002-01-15,02:10:30,24.4,120.98,7.0,4.6,雲林縣,2
2002-01-15,02:10:30,24.4,120.98,7.0,4.6,宜蘭縣,2
2002-01-15,02:10:30,24.4,120.98,7.0,4.6,嘉義市,2
2002-01-15,02:10:30,24.4,120.98,7.0,4.6,南投縣,2
2002-01-15,02:10:30,24.4,120.98,7.0,4.6,彰化縣,2
2002-01-15,02:10:30,24.4,120.98,7.0,4.6,嘉義縣,1
2002-01-15,02:10:30,24.4,120.98,7.0,4.6,花蓮縣,1
2002-01-15,02:10:30,24.4,120.98,7.0,4.6,新竹縣,1
2002-01-15,00:34:16,24.49,122.39,38.8,5.0,宜蘭縣,2
2002-01-15,00:34:16,24.49,122.39,38.8,5.0,花蓮縣,2
2002-01-15,00:34:16,24.49,122.39,38.8,5.0,南投縣,1
2002-01-15,00:34:16,24.49,122.39,38.8,5.0,雲林縣,1
2002-01-15,00:34:16,24.49,122.39,38.8,5.0,新北市,1
2002-01-15,00:34:16,24.49,122.39,38.8,5.0,臺中市,1
2002-01-14,02:16:42,23.06,121.33,18.4,4.3,臺東縣,3
2002-01-14,02:16:42,23.06,121.33,18.4,4.3,花蓮縣,2
2002-01-14,02:16:42,23.06,121.33,18.4,4.3,高雄市,1
2002-01-14,02:16:42,23.06,121.33,18.4,4.3,雲林縣,1
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,苗栗縣,5
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,臺中市,4
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,宜蘭縣,3
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,花蓮縣,2
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,南投縣,2
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,彰化縣,2
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,雲林縣,2
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,新北市,1
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,新竹縣,1
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,嘉義市,1
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,嘉義縣,1
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,桃園縣,1
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,高雄市,1
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,基隆市,1
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,臺北市,1
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,臺東縣,1
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,臺南市,1
2002-01-09,01:00:39,24.38,120.9,1.0,5.0,澎湖縣,1
2002-01-07,10:45:07,22.98,120.9,7.7,4.8,高雄市,3
2002-01-07,10:45:07,22.98,120.9,7.7,4.8,臺東縣,2
