Date,Time,北緯,東經,深度,芮氏規模,城市,震度
2008-01-30,02:33:38,23.74,121.47,9.1,3.8,花蓮縣,4
2008-01-30,02:33:38,23.74,121.47,9.1,3.8,南投縣,1
2008-01-27,21:54:28,24.69,122.45,14.1,4.5,宜蘭縣,2
2008-01-27,21:54:28,24.69,122.45,14.1,4.5,花蓮縣,1
2008-01-26,00:38:13,22.08,121.11,46.7,3.9,臺東縣,2
2008-01-25,23:30:17,24.06,121.47,21.5,3.1,花蓮縣,2
2008-01-25,23:30:17,24.06,121.47,21.5,3.1,南投縣,1
2008-01-25,23:30:17,24.06,121.47,21.5,3.1,宜蘭縣,1
2008-01-24,12:41:29,24.14,121.55,18.9,2.7,花蓮縣,2
2008-01-24,12:41:29,24.14,121.55,18.9,2.7,宜蘭縣,1
2008-01-24,04:22:54,24.19,121.89,48.0,3.9,宜蘭縣,2
2008-01-24,04:22:54,24.19,121.89,48.0,3.9,花蓮縣,2
2008-01-24,03:14:21,23.44,120.49,6.1,3.6,嘉義市,2
2008-01-24,03:14:21,23.44,120.49,6.1,3.6,嘉義縣,2
2008-01-24,03:14:21,23.44,120.49,6.1,3.6,臺南市,1
2008-01-24,03:14:21,23.44,120.49,6.1,3.6,高雄市,1
2008-01-24,03:14:21,23.44,120.49,6.1,3.6,雲林縣,1
2008-01-22,20:24:47,21.86,121.54,12.5,3.6,臺東縣,3
2008-01-21,04:16:26,23.59,120.63,8.8,3.3,雲林縣,3
2008-01-21,04:16:26,23.59,120.63,8.8,3.3,南投縣,2
2008-01-21,04:16:26,23.59,120.63,8.8,3.3,嘉義市,1
2008-01-21,04:16:26,23.59,120.63,8.8,3.3,嘉義縣,1
2008-01-21,04:16:26,23.59,120.63,8.8,3.3,彰化縣,1
2008-01-21,03:12:39,22.75,121.31,89.9,4.6,南投縣,1
2008-01-21,03:12:39,22.75,121.31,89.9,4.6,屏東縣,1
2008-01-21,03:12:39,22.75,121.31,89.9,4.6,高雄市,1
2008-01-21,03:12:39,22.75,121.31,89.9,4.6,雲林縣,1
2008-01-21,03:12:39,22.75,121.31,89.9,4.6,嘉義市,1
2008-01-21,03:12:39,22.75,121.31,89.9,4.6,嘉義縣,1
2008-01-21,03:12:39,22.75,121.31,89.9,4.6,彰化縣,1
2008-01-21,03:12:39,22.75,121.31,89.9,4.6,臺東縣,1
2008-01-21,03:12:39,22.75,121.31,89.9,4.6,臺南市,1
2008-01-18,11:00:48,23.96,121.45,15.9,3.2,花蓮縣,3
2008-01-18,11:00:48,23.96,121.45,15.9,3.2,南投縣,2
2008-01-18,05:55:53,22.92,121.28,19.0,3.6,臺東縣,2
2008-01-18,05:55:53,22.92,121.28,19.0,3.6,花蓮縣,1
2008-01-17,11:04:16,24.47,121.85,19.7,3.6,宜蘭縣,4
2008-01-17,11:04:16,24.47,121.85,19.7,3.6,花蓮縣,2
2008-01-17,11:04:16,24.47,121.85,19.7,3.6,桃園縣,1
2008-01-13,08:56:15,23.19,120.45,10.1,3.6,臺南市,3
2008-01-13,08:56:15,23.19,120.45,10.1,3.6,嘉義縣,2
2008-01-13,08:56:15,23.19,120.45,10.1,3.6,高雄市,1
2008-01-13,08:56:15,23.19,120.45,10.1,3.6,嘉義市,1
2008-01-13,08:12:06,24.44,121.92,16.2,3.5,宜蘭縣,3
2008-01-13,08:12:06,24.44,121.92,16.2,3.5,花蓮縣,2
2008-01-11,05:42:56,22.96,121.25,14.0,3.1,臺東縣,3
2008-01-10,23:38:03,24.15,121.24,4.8,3.2,南投縣,3
2008-01-10,23:38:03,24.15,121.24,4.8,3.2,臺中市,1
2008-01-10,23:38:03,24.15,121.24,4.8,3.2,宜蘭縣,1
2008-01-09,06:06:14,24.4,121.85,9.2,3.2,宜蘭縣,4
2008-01-09,06:06:14,24.4,121.85,9.2,3.2,花蓮縣,2
2008-01-08,21:26:37,22.81,121.34,24.0,4.3,臺東縣,3
2008-01-08,21:26:37,22.81,121.34,24.0,4.3,花蓮縣,2
2008-01-05,03:52:51,24.44,121.81,18.0,3.1,宜蘭縣,4
2008-01-05,03:52:51,24.44,121.81,18.0,3.1,花蓮縣,2
2008-01-02,07:24:20,24.33,121.7,9.5,2.9,宜蘭縣,3
2008-01-02,07:24:20,24.33,121.7,9.5,2.9,花蓮縣,2
2008-01-01,15:32:23,23.24,121.39,38.1,3.9,臺東縣,2
2008-01-01,15:32:23,23.24,121.39,38.1,3.9,花蓮縣,1
2008-02-28,02:54:08,24.83,122.29,14.4,4.8,宜蘭縣,3
2008-02-28,02:54:08,24.83,122.29,14.4,4.8,花蓮縣,2
2008-02-28,02:54:08,24.83,122.29,14.4,4.8,新北市,2
2008-02-27,22:07:23,23.12,120.96,5.4,3.2,高雄市,2
2008-02-27,22:07:23,23.12,120.96,5.4,3.2,臺東縣,2
2008-02-24,20:04:35,24.44,121.93,30.0,3.5,宜蘭縣,2
2008-02-24,18:44:24,23.89,121.55,9.1,2.8,花蓮縣,2
2008-02-24,11:18:52,24.44,121.94,12.5,3.2,宜蘭縣,3
2008-02-24,11:18:52,24.44,121.94,12.5,3.2,花蓮縣,1
2008-02-24,02:14:15,23.09,121.3,14.2,4.6,花蓮縣,3
2008-02-24,02:14:15,23.09,121.3,14.2,4.6,臺東縣,3
2008-02-24,02:14:15,23.09,121.3,14.2,4.6,臺南市,1
2008-02-24,02:14:15,23.09,121.3,14.2,4.6,南投縣,1
2008-02-24,02:14:15,23.09,121.3,14.2,4.6,高雄市,1
2008-02-24,02:14:15,23.09,121.3,14.2,4.6,雲林縣,1
2008-02-24,02:14:15,23.09,121.3,14.2,4.6,嘉義市,1
2008-02-24,02:14:15,23.09,121.3,14.2,4.6,嘉義縣,1
2008-02-24,02:14:15,23.09,121.3,14.2,4.6,彰化縣,1
2008-02-23,22:31:06,24.6,121.62,42.9,3.5,宜蘭縣,2
2008-02-23,22:31:06,24.6,121.62,42.9,3.5,桃園縣,1
2008-02-23,22:31:06,24.6,121.62,42.9,3.5,新北市,1
2008-02-23,07:19:55,24.42,121.79,10.7,2.6,宜蘭縣,3
2008-02-23,07:19:55,24.42,121.79,10.7,2.6,花蓮縣,1
2008-02-23,04:42:52,22.98,121.26,22.9,3.5,臺東縣,2
2008-02-23,04:42:52,22.98,121.26,22.9,3.5,花蓮縣,1
2008-02-23,04:18:35,24.47,121.89,20.6,2.8,宜蘭縣,2
2008-02-23,00:49:49,23.52,120.72,10.3,3.1,雲林縣,2
2008-02-23,00:49:49,23.52,120.72,10.3,3.1,嘉義市,1
2008-02-23,00:49:49,23.52,120.72,10.3,3.1,嘉義縣,1
2008-02-23,00:38:02,23.95,121.44,16.0,3.3,花蓮縣,3
2008-02-23,00:38:02,23.95,121.44,16.0,3.3,南投縣,1
2008-02-23,00:38:02,23.95,121.44,16.0,3.3,宜蘭縣,1
2008-02-22,08:22:04,23.62,120.81,5.0,4.1,雲林縣,2
2008-02-22,08:22:04,23.62,120.81,5.0,4.1,嘉義市,2
2008-02-22,08:22:04,23.62,120.81,5.0,4.1,嘉義縣,2
