Date,Time,北緯,東經,深度,芮氏規模,城市,震度
2018-01-31,23:44:18,22.97,120.99,7.0,4.1,高雄市,2
2018-01-31,23:44:18,22.97,120.99,7.0,4.1,臺東縣,2
2018-01-31,23:44:18,22.97,120.99,7.0,4.1,臺南市,1
2018-01-31,23:44:18,22.97,120.99,7.0,4.1,屏東縣,1
2018-01-31,23:26:37,22.98,121,7.0,3.2,高雄市,1
2018-01-31,23:26:37,22.98,121,7.0,3.2,臺東縣,1
2018-01-31,22:49:24,22.98,121,7.6,3.8,臺東縣,2
2018-01-31,22:49:24,22.98,121,7.6,3.8,屏東縣,1
2018-01-31,22:49:24,22.98,121,7.6,3.8,高雄市,1
2018-01-30,02:44:31,24.4,121.79,6.4,2.3,宜蘭縣,3
2018-01-28,18:58:45,24.21,120.9,32.0,3.8,苗栗縣,2
2018-01-28,18:58:45,24.21,120.9,32.0,3.8,彰化縣,2
2018-01-28,18:58:45,24.21,120.9,32.0,3.8,臺中市,1
2018-01-28,18:58:45,24.21,120.9,32.0,3.8,雲林縣,1
2018-01-28,18:58:45,24.21,120.9,32.0,3.8,南投縣,1
2018-01-28,14:30:07,23.92,121.47,16.7,3.0,花蓮縣,2
2018-01-28,13:39:02,24.06,121.63,10.5,2.7,花蓮縣,2
2018-01-27,00:31:28,22.97,120.99,5.7,4.5,高雄市,3
2018-01-27,00:31:28,22.97,120.99,5.7,4.5,臺東縣,2
2018-01-27,00:31:28,22.97,120.99,5.7,4.5,臺南市,2
2018-01-27,00:31:28,22.97,120.99,5.7,4.5,嘉義縣,1
2018-01-27,00:31:28,22.97,120.99,5.7,4.5,花蓮縣,1
2018-01-27,00:31:28,22.97,120.99,5.7,4.5,屏東縣,1
2018-01-26,13:35:24,22.72,121.34,88.0,4.0,屏東縣,1
2018-01-26,13:35:24,22.72,121.34,88.0,4.0,臺東縣,1
2018-01-26,13:35:24,22.72,121.34,88.0,4.0,臺南市,1
2018-01-25,08:23:01,23.21,120.63,8.0,2.7,嘉義縣,4
2018-01-25,08:23:01,23.21,120.63,8.0,2.7,高雄市,1
2018-01-24,12:28:09,23.05,121.34,18.8,4.2,臺東縣,2
2018-01-24,12:28:09,23.05,121.34,18.8,4.2,高雄市,1
2018-01-22,23:06:40,24.16,122.12,45.4,4.0,宜蘭縣,2
2018-01-22,23:06:40,24.16,122.12,45.4,4.0,花蓮縣,1
2018-01-22,17:09:55,23.74,121.4,19.2,3.5,花蓮縣,2
2018-01-22,17:09:55,23.74,121.4,19.2,3.5,南投縣,1
2018-01-22,15:13:19,23.59,120.72,14.9,3.2,雲林縣,2
2018-01-22,15:13:19,23.59,120.72,14.9,3.2,嘉義縣,1
2018-01-22,15:13:19,23.59,120.72,14.9,3.2,彰化縣,1
2018-01-22,15:13:19,23.59,120.72,14.9,3.2,南投縣,1
2018-01-22,07:51:13,24.26,121.81,17.4,3.6,宜蘭縣,3
2018-01-22,07:51:13,24.26,121.81,17.4,3.6,花蓮縣,2
2018-01-21,13:51:00,22.86,120.14,18.5,3.1,臺南市,1
