Date,Time,北緯,東經,深度,芮氏規模,城市,震度
2000-01-31,10:57:25,23.5,120.46,10.6,3.9,嘉義市,4
2000-01-31,10:57:25,23.5,120.46,10.6,3.9,嘉義縣,2
2000-01-31,10:57:25,23.5,120.46,10.6,3.9,臺南市,2
2000-01-31,10:57:25,23.5,120.46,10.6,3.9,南投縣,2
2000-01-31,10:57:25,23.5,120.46,10.6,3.9,雲林縣,2
2000-01-31,10:57:25,23.5,120.46,10.6,3.9,高雄市,1
2000-01-31,04:21:55,23.99,121.07,4.9,4.8,花蓮縣,3
2000-01-31,04:21:55,23.99,121.07,4.9,4.8,南投縣,3
2000-01-31,04:21:55,23.99,121.07,4.9,4.8,臺中市,3
2000-01-31,04:21:55,23.99,121.07,4.9,4.8,雲林縣,2
2000-01-31,04:21:55,23.99,121.07,4.9,4.8,彰化縣,2
2000-01-31,04:21:55,23.99,121.07,4.9,4.8,宜蘭縣,1
2000-01-31,04:21:55,23.99,121.07,4.9,4.8,嘉義市,1
2000-01-31,04:21:55,23.99,121.07,4.9,4.8,嘉義縣,1
2000-01-31,04:21:55,23.99,121.07,4.9,4.8,苗栗縣,1
2000-01-31,04:21:55,23.99,121.07,4.9,4.8,高雄市,1
2000-01-31,04:21:55,23.99,121.07,4.9,4.8,臺東縣,1
2000-01-31,04:21:55,23.99,121.07,4.9,4.8,臺南市,1
2000-01-28,14:52:58,23.17,120.19,13.6,3.5,臺南市,4
2000-01-28,14:52:58,23.17,120.19,13.6,3.5,雲林縣,1
2000-01-28,14:52:58,23.17,120.19,13.6,3.5,嘉義市,1
2000-01-23,20:42:28,23.32,120.55,9.9,4.5,嘉義縣,4
2000-01-23,20:42:28,23.32,120.55,9.9,4.5,臺南市,4
2000-01-23,20:42:28,23.32,120.55,9.9,4.5,嘉義市,3
2000-01-23,20:42:28,23.32,120.55,9.9,4.5,南投縣,3
2000-01-23,20:42:28,23.32,120.55,9.9,4.5,高雄市,2
2000-01-23,20:42:28,23.32,120.55,9.9,4.5,雲林縣,2
2000-01-23,20:42:28,23.32,120.55,9.9,4.5,臺東縣,2
2000-01-23,20:42:28,23.32,120.55,9.9,4.5,彰化縣,2
2000-01-23,20:42:28,23.32,120.55,9.9,4.5,臺中市,1
2000-01-23,20:42:28,23.32,120.55,9.9,4.5,屏東縣,1
2000-01-23,20:42:28,23.32,120.55,9.9,4.5,苗栗縣,1
2000-01-21,09:36:24,24.03,121.54,20.0,4.1,花蓮縣,4
2000-01-21,09:36:24,24.03,121.54,20.0,4.1,臺中市,2
2000-01-21,09:36:24,24.03,121.54,20.0,4.1,宜蘭縣,2
2000-01-21,01:42:09,23.62,121.26,4.7,4.9,花蓮縣,4
2000-01-21,01:42:09,23.62,121.26,4.7,4.9,嘉義市,2
2000-01-21,01:42:09,23.62,121.26,4.7,4.9,臺東縣,2
2000-01-21,01:42:09,23.62,121.26,4.7,4.9,臺南市,1
2000-01-21,01:42:09,23.62,121.26,4.7,4.9,嘉義縣,1
2000-01-21,01:42:09,23.62,121.26,4.7,4.9,南投縣,1
2000-01-21,01:42:09,23.62,121.26,4.7,4.9,屏東縣,1
2000-01-21,01:42:09,23.62,121.26,4.7,4.9,苗栗縣,1
2000-01-21,01:42:09,23.62,121.26,4.7,4.9,高雄市,1
2000-01-21,01:42:09,23.62,121.26,4.7,4.9,雲林縣,1
2000-01-21,01:42:09,23.62,121.26,4.7,4.9,宜蘭縣,1
2000-01-17,04:39:54,24.4,120.97,3.8,4.1,苗栗縣,3
2000-01-17,04:39:54,24.4,120.97,3.8,4.1,臺中市,2
2000-01-17,04:39:54,24.4,120.97,3.8,4.1,雲林縣,1
2000-01-17,04:39:54,24.4,120.97,3.8,4.1,宜蘭縣,1
2000-01-17,04:39:54,24.4,120.97,3.8,4.1,南投縣,1
2000-01-17,04:22:05,24.41,120.96,5.8,4.7,苗栗縣,3
2000-01-17,04:22:05,24.41,120.96,5.8,4.7,宜蘭縣,2
2000-01-17,04:22:05,24.41,120.96,5.8,4.7,雲林縣,2
2000-01-17,04:22:05,24.41,120.96,5.8,4.7,臺中市,2
2000-01-17,04:22:05,24.41,120.96,5.8,4.7,南投縣,2
2000-01-17,04:22:05,24.41,120.96,5.8,4.7,臺北市,1
2000-01-17,04:22:05,24.41,120.96,5.8,4.7,新北市,1
