Date,Time,北緯,東經,深度,芮氏規模,城市,震度
2014-01-30,22:39:30,24.05,121.51,18.1,3.0,花蓮縣,3
2014-01-29,22:11:38,24.52,120.99,6.4,2.7,苗栗縣,1
2014-01-29,10:26:53,23.24,121.37,18.3,3.4,臺東縣,2
2014-01-29,10:14:52,23.24,121.37,17.3,4.4,臺東縣,3
2014-01-29,10:14:52,23.24,121.37,17.3,4.4,花蓮縣,2
2014-01-29,10:14:52,23.24,121.37,17.3,4.4,高雄市,1
2014-01-29,10:14:52,23.24,121.37,17.3,4.4,雲林縣,1
2014-01-29,10:14:52,23.24,121.37,17.3,4.4,嘉義市,1
2014-01-29,10:14:52,23.24,121.37,17.3,4.4,臺南市,1
2014-01-28,22:16:48,23.96,121.49,15.1,2.5,花蓮縣,2
2014-01-28,18:08:53,24.03,121.74,59.8,3.5,宜蘭縣,1
2014-01-28,18:08:53,24.03,121.74,59.8,3.5,花蓮縣,1
2014-01-28,05:01:37,23.79,121.49,9.8,2.7,花蓮縣,2
2014-01-28,01:33:50,22.66,121.01,7.1,2.8,臺東縣,3
2014-01-28,01:33:50,22.66,121.01,7.1,2.8,屏東縣,1
2014-01-27,10:49:44,24.3,121.44,6.8,3.0,宜蘭縣,2
2014-01-27,10:49:44,24.3,121.44,6.8,3.0,花蓮縣,1
2014-01-27,10:49:44,24.3,121.44,6.8,3.0,南投縣,1
2014-01-26,15:50:49,22.91,121.09,11.9,3.7,高雄市,2
2014-01-26,15:50:49,22.91,121.09,11.9,3.7,臺東縣,2
2014-01-26,14:55:05,24.14,121.68,28.5,3.8,花蓮縣,3
2014-01-26,14:55:05,24.14,121.68,28.5,3.8,宜蘭縣,2
2014-01-26,14:55:05,24.14,121.68,28.5,3.8,南投縣,1
2014-01-26,09:17:26,24.5,121.96,13.4,3.6,宜蘭縣,3
2014-01-26,09:17:26,24.5,121.96,13.4,3.6,花蓮縣,2
2014-01-26,09:17:26,24.5,121.96,13.4,3.6,桃園縣,1
2014-01-25,16:20:59,23.75,121.42,20.9,2.8,花蓮縣,2
2014-01-25,14:35:01,23.1,120.82,2.9,3.4,高雄市,3
2014-01-25,14:35:01,23.1,120.82,2.9,3.4,嘉義縣,1
2014-01-25,14:35:01,23.1,120.82,2.9,3.4,臺東縣,1
2014-01-25,11:16:11,23.79,121.48,11.8,4.7,花蓮縣,5
2014-01-25,11:16:11,23.79,121.48,11.8,4.7,南投縣,2
2014-01-25,11:16:11,23.79,121.48,11.8,4.7,宜蘭縣,2
2014-01-25,11:16:11,23.79,121.48,11.8,4.7,雲林縣,1
2014-01-25,11:16:11,23.79,121.48,11.8,4.7,嘉義市,1
2014-01-25,11:16:11,23.79,121.48,11.8,4.7,彰化縣,1
