Name,Address,Region,Town,Longtitude,Latitude,path
金門縣陶瓷廠,金門縣891金湖鎮新湖里漁村14號,金門縣,金湖鎮,118.40662,24.43562,location_images/金門縣陶瓷廠.jpg
將軍堡,金門縣894烈嶼鄉上林村郊(北環道旁),金門縣,烈嶼鄉,118.26624,24.44092,location_images/將軍堡.jpg
慈湖三角堡,金門縣892金寧鄉慈湖路三段,金門縣,金寧鄉,118.29762,24.46514,location_images/慈湖三角堡.jpg
雄獅堡,金門縣893金城鎮民權路34之1號,金門縣,金城鎮,118.3101,24.43152,location_images/雄獅堡.jpg
勇士堡,金門縣894烈嶼鄉黃埔村黃厝海岸,金門縣,烈嶼鄉,118.25193,24.44762,location_images/勇士堡.jpg
鐵漢堡,金門縣894烈嶼鄉黃埔村黃厝,金門縣,烈嶼鄉,118.25502,24.44684,location_images/鐵漢堡.jpg
魯王墓園,金門縣891金湖鎮伯玉路五段旁,金門縣,金湖鎮,118.3871,24.44769,location_images/魯王墓園.jpg
後浦陳氏祠堂,金門縣893金城鎮莒光路106號,金門縣,金城鎮,118.31694,24.43282,location_images/後浦陳氏祠堂.jpg
怡穀堂,金門縣891金湖鎮瓊林村瓊義路,金門縣,金湖鎮,118.37258,24.45488,location_images/怡穀堂.jpg
護國寺,金門縣891金湖鎮太湖路二段181號,金門縣,金湖鎮,118.41732,24.43928,location_images/護國寺.jpg
北極殿,金門縣890金沙鎮西園里浯坑32之1號,金門縣,金沙鎮,118.40973,24.50501,location_images/北極殿.jpg
象山金剛寺,金門縣890金沙鎮何斗里頂蘭1號,金門縣,金沙鎮,118.38876,24.46042,location_images/象山金剛寺.jpg
泰安宮,金門縣893金城鎮賢庵里賢厝1號,金門縣,金城鎮,118.31104,24.41644,location_images/泰安宮.jpg
靈濟古寺(觀音亭),金門縣893金城鎮莒光路2號,金門縣,金城鎮,118.31853,24.43154,location_images/靈濟古寺(觀音亭).jpg
沙美萬安堂,金門縣890金沙鎮汶沙里忠孝新村5號,金門縣,金沙鎮,118.41202,24.49103,location_images/沙美萬安堂.jpg
