title,image,area_1,area_2,latitude,longitude,address
大坡池,/hotspots/taiwan_img/大坡池.jpg,臺東縣,池上鄉,23.119911,121.22404,臺東縣池上鄉（臺9線322K東側轉入）
利稻,/hotspots/taiwan_img/利稻.jpg,臺東縣,海端鄉,23.187162,121.0218,臺東縣海端鄉
花東縱谷國家風景區-鹿野遊客中心,/hotspots/taiwan_img/花東縱谷國家風景區-鹿野遊客中心.jpg,臺東縣,鹿野鄉,22.92384,121.12507,臺東縣鹿野鄉永安村高台路46號
利吉惡地及小黃山,/hotspots/taiwan_img/利吉惡地及小黃山.jpg,臺東縣,卑南鄉,22.815485,121.13836,臺東縣卑南鄉
向陽國家森林遊樂區,/hotspots/taiwan_img/向陽國家森林遊樂區.jpg,臺東縣,海端鄉,23.248188,120.98526,臺東縣海端鄉利稻村向陽7號
東河休閒農場,/hotspots/taiwan_img/東河休閒農場.jpg,臺東縣,東河鄉,23.074716,121.30037,臺東縣東河鄉北源村67號
多良車站,/hotspots/taiwan_img/多良車站.jpg,臺東縣,太麻,22.507487,120.95888,臺東縣太麻里鄉多良村瀧溪路8-1號
鯉魚山公園,/hotspots/taiwan_img/鯉魚山公園.jpg,臺東縣,臺東市,22.755565,121.14242,臺東縣臺東市舊火車站後方
杉原海水浴場,/hotspots/taiwan_img/杉原海水浴場.jpg,臺東縣,卑南鄉,22.830767,121.18612,臺東縣卑南鄉
蘭嶼燈塔,/hotspots/taiwan_img/蘭嶼燈塔.jpg,臺東縣,蘭嶼鄉,22.081021,121.50297,臺東縣蘭嶼鄉
伯朗大道,/hotspots/taiwan_img/伯朗大道.jpg,臺東縣,池上鄉,23.098776,121.2126,臺東縣池上鄉伯朗大道
鹿野高台,/hotspots/taiwan_img/鹿野高台.jpg,臺東縣,鹿野鄉,22.916449,121.12159,臺東縣鹿野鄉高台路46號
鹿野觀光茶園,/hotspots/taiwan_img/鹿野觀光茶園.jpg,臺東縣,鹿野鄉,22.920246,121.12428,臺東縣鹿野鄉高台路46號
